name,energy,diag,pca1,pca2,pca3
acetone_0_015,37.9827243,0.378,0.029417,0.010788,0.341793
acetone_0_015,38.1540759,0.378,0.050739,0.034199,0.395048
acetone_0_015,0.5802481,0.005,0.046062,0.052638,0.401485
acetone_0_015,0.5794847,0.005,0.03336,0.04501,0.029938
acetone_0_015,0.5773484,0.005,0.034118,0.045991,0.027038
acetone_0_015,75.3691448,0.754,0.031997,0.048247,-0.013953
acetone_10_015,38.1559781,0.378,0.801282,-0.592961,0.008103
acetone_10_015,0.5793492,0.005,0.458865,0.546248,-0.470772
acetone_10_015,0.5747178,0.005,0.276918,0.41209,0.629539
acetone_10_015,0.579586,0.005,0.249834,0.416521,-0.042183
acetone_10_015,37.9758102,0.378,0.028441,-0.002991,0.329485
acetone_10_015,38.1559972,0.378,0.048819,0.017343,0.377003
acetone_10_015,0.5802462,0.005,0.044632,0.033756,0.356223
acetone_10_015,0.578709,0.005,0.032732,0.038807,0.037548
acetone_10_015,0.5751546,0.005,0.032592,0.042865,0.033755
acetone_10_015,75.3674224,0.754,0.031172,0.043712,-0.008591
acetone_1_015,38.1553761,0.378,0.809592,-0.579176,0.028737
acetone_1_015,0.5785785,0.005,0.4429,0.506748,-0.449799
acetone_1_015,0.5770566,0.005,0.277068,0.455781,0.571482
acetone_1_015,0.5802711,0.005,0.250272,0.435642,-0.134746
acetone_1_015,37.9831236,0.378,0.029989,0.012669,0.353307
acetone_1_015,38.1494335,0.378,0.051348,0.0362,0.406456
acetone_1_015,0.5816505,0.005,0.046168,0.054247,0.400896
acetone_1_015,0.5804961,0.005,0.033417,0.045206,0.029096
acetone_1_015,0.5773872,0.005,0.03393,0.045965,0.020523
acetone_1_015,75.3694613,0.754,0.032597,0.040869,-0.009466
acetone_11_015,38.147325,0.378,0.808221,-0.582223,0.02017
acetone_11_015,0.5779865,0.005,0.445877,0.520819,-0.449838
acetone_11_015,0.579315,0.005,0.27675,0.440861,0.58703
acetone_11_015,0.5823794,0.005,0.249705,0.431048,-0.115934
acetone_11_015,37.9831548,0.378,0.031417,0.012314,0.371724
acetone_11_015,38.1466604,0.378,0.050911,0.030211,0.388927
acetone_11_015,0.5795702,0.005,0.045741,0.048406,0.384568
acetone_11_015,0.5815891,0.005,0.033353,0.044866,0.031107
acetone_11_015,0.5792916,0.005,0.034112,0.045895,0.02829
acetone_11_015,75.3692909,0.754,0.0329,0.045572,-0.009525
acetone_12_015,38.1477053,0.378,0.807785,-0.582057,0.030864
acetone_12_015,0.5781811,0.005,0.444846,0.507172,-0.451659
acetone_12_015,0.5789989,0.005,0.279057,0.456257,0.573432
acetone_12_015,0.5821322,0.005,0.250728,0.430566,-0.137365
acetone_12_015,37.9838503,0.378,0.031262,0.017841,0.372934
acetone_12_015,38.1517024,0.378,0.04984,0.038447,0.393185
acetone_12_015,0.5817011,0.005,0.045576,0.053514,0.389745
acetone_12_015,0.5771574,0.005,0.033354,0.044972,0.029352
acetone_12_015,0.5759585,0.005,0.034112,0.045916,0.026338
acetone_12_015,75.3687269,0.754,0.03229,0.040472,-0.015084
acetone_13_015,38.1509901,0.378,0.808246,-0.581735,0.03128
acetone_13_015,0.580673,0.005,0.444807,0.510012,-0.455167
acetone_13_015,0.5756769,0.005,0.277516,0.451281,0.578505
acetone_13_015,0.5807229,0.005,0.251076,0.432785,-0.132992
acetone_13_015,37.9835561,0.378,0.030118,0.020434,0.363132
acetone_13_015,38.1515041,0.378,0.050694,0.042946,0.398977
acetone_13_015,0.5815692,0.005,0.045333,0.053061,0.381931
acetone_13_015,0.579389,0.005,0.033368,0.045206,0.029461
acetone_13_015,0.575829,0.005,0.034013,0.041826,0.035877
acetone_13_015,75.3688021,0.754,0.03206,0.04055,-0.020384
acetone_14_015,38.1466001,0.378,0.808774,-0.58066,0.028093
acetone_14_015,0.5812282,0.005,0.443552,0.508393,-0.449778
acetone_14_015,0.576711,0.005,0.277798,0.454956,0.568737
acetone_14_015,0.5818958,0.005,0.250718,0.432199,-0.131959
acetone_14_015,37.9832597,0.378,0.031292,0.017289,0.365887
acetone_14_015,38.1474765,0.378,0.052019,0.035833,0.416567
acetone_14_015,0.5819348,0.005,0.045616,0.052995,0.383114
acetone_14_015,0.5808985,0.005,0.033389,0.045158,0.028978
acetone_14_015,0.5769426,0.005,0.034145,0.046056,0.026292
acetone_14_015,75.3696303,0.754,0.03268,0.045143,-0.018076
acetone_15_015,38.1526443,0.378,0.808387,-0.581127,0.030572
acetone_15_015,0.5802176,0.005,0.444094,0.506682,-0.451126
acetone_15_015,0.5759634,0.005,0.278226,0.456522,0.574427
acetone_15_015,0.5802375,0.005,0.251125,0.43178,-0.138523
acetone_15_015,37.982837,0.378,0.029949,0.012916,0.353348
acetone_15_015,38.1528466,0.378,0.050374,0.039303,0.404465
acetone_15_015,0.5800679,0.005,0.045861,0.05421,0.395328
acetone_15_015,0.5800586,0.005,0.033376,0.045114,0.029094
acetone_15_015,0.5784839,0.005,0.034133,0.046047,0.026258
acetone_15_015,75.3691318,0.754,0.031652,0.043718,-0.011365
acetone_16_015,38.1452093,0.378,0.807885,-0.582072,0.025689
acetone_16_015,0.5812728,0.005,0.445662,0.512538,-0.452831
acetone_16_015,0.5773838,0.005,0.27739,0.448236,0.584316
acetone_16_015,0.5821706,0.005,0.250738,0.432689,-0.125611
acetone_16_015,37.9821684,0.378,0.029392,0.01001,0.349187
acetone_16_015,38.1580861,0.378,0.051204,0.03365,0.404165
acetone_16_015,0.5790349,0.005,0.045546,0.051416,0.386976
acetone_16_015,0.577616,0.005,0.033352,0.044942,0.030006
acetone_16_015,0.576632,0.005,0.034355,0.046047,0.033001
acetone_16_015,75.3696478,0.754,0.032237,0.04843,-0.007767
acetone_17_015,38.1466975,0.378,0.809085,-0.58193,0.035651
acetone_17_015,0.5834813,0.005,0.450529,0.540494,-0.524607
acetone_17_015,0.5813479,0.005,0.277164,0.474465,0.552909
acetone_17_015,0.583729,0.005,0.23898,0.368864,0.020313
acetone_17_015,37.9692801,0.378,0.029223,0.003683,0.328554
acetone_17_015,38.1541314,0.378,0.049203,0.032217,0.391073
acetone_17_015,0.5761382,0.005,0.045828,0.044236,0.391196
acetone_17_015,0.5762531,0.005,0.032345,0.043253,0.041045
acetone_17_015,0.5766501,0.005,0.032743,0.039606,0.042246
acetone_17_015,75.3722206,0.754,0.031317,0.039979,-0.002456
acetone_18_015,38.1509278,0.378,0.808085,-0.581252,0.029589
acetone_18_015,0.5802801,0.005,0.444228,0.504752,-0.452313
acetone_18_015,0.5788962,0.005,0.277926,0.454817,0.568667
acetone_18_015,0.5811467,0.005,0.251921,0.435144,-0.129876
acetone_18_015,37.9827913,0.378,0.029938,0.01267,0.350686
acetone_18_015,38.1514032,0.378,0.051267,0.036165,0.402999
acetone_18_015,0.5813199,0.005,0.046592,0.054575,0.409151
acetone_18_015,0.5797089,0.005,0.033367,0.044895,0.028813
acetone_18_015,0.5790209,0.005,0.033223,0.048832,0.02411
acetone_18_015,75.3691642,0.754,0.032247,0.048118,-0.009113
acetone_19_015,38.151192,0.378,0.808304,-0.581336,0.030637
acetone_19_015,0.5802891,0.005,0.444335,0.507449,-0.452465
acetone_19_015,0.5785152,0.005,0.277932,0.45532,0.571142
acetone_19_015,0.5812006,0.005,0.251112,0.431804,-0.134509
acetone_19_015,37.9831948,0.378,0.030289,0.016885,0.346706
acetone_19_015,38.1508706,0.378,0.050846,0.039126,0.41241
acetone_19_015,0.5812965,0.005,0.046088,0.053843,0.39761
acetone_19_015,0.5803376,0.005,0.033372,0.045063,0.029138
acetone_19_015,0.577098,0.005,0.034129,0.045995,0.0263
acetone_19_015,75.368979,0.754,0.031651,0.043723,-0.010929
acetone_20_015,38.1496392,0.378,0.808403,-0.581067,0.032206
acetone_20_015,0.5800115,0.005,0.443898,0.504816,-0.449468
acetone_20_015,0.5791764,0.005,0.277999,0.455321,0.564773
acetone_20_015,0.5817483,0.005,0.251265,0.434786,-0.141017
acetone_20_015,37.9839416,0.378,0.02939,0.020268,0.348491
acetone_20_015,38.1491218,0.378,0.051219,0.044138,0.406396
acetone_20_015,0.5812597,0.005,0.046841,0.054981,0.412192
acetone_20_015,0.5807529,0.005,0.033378,0.045,0.028803
acetone_20_015,0.5794161,0.005,0.034136,0.045927,0.025817
acetone_20_015,75.3685373,0.754,0.032559,0.040633,-0.009197
acetone_2_015,38.1531473,0.378,0.808084,-0.581588,0.036163
acetone_2_015,0.5791361,0.005,0.444508,0.506007,-0.465787
acetone_2_015,0.5768398,0.005,0.281138,0.468542,0.55504
acetone_2_015,0.5822114,0.005,0.24807,0.419031,-0.119746
acetone_2_015,37.9830634,0.378,0.031027,0.018533,0.364959
acetone_2_015,38.1518902,0.378,0.050105,0.039798,0.401752
acetone_2_015,0.581129,0.005,0.046088,0.055157,0.403933
acetone_2_015,0.5777544,0.005,0.033364,0.045012,0.029189
acetone_2_015,0.5784543,0.005,0.03352,0.041348,0.024066
acetone_2_015,75.3690943,0.754,0.03164,0.043458,-0.011515
acetone_21_015,38.1496428,0.378,0.808192,-0.581356,0.032459
acetone_21_015,0.5801913,0.005,0.4443,0.50512,-0.45029
acetone_21_015,0.5791126,0.005,0.277935,0.455054,0.567911
acetone_21_015,0.5815607,0.005,0.25146,0.434835,-0.140911
acetone_21_015,37.9841978,0.378,0.029635,0.020572,0.350871
acetone_21_015,38.1502732,0.378,0.05096,0.043882,0.402808
acetone_21_015,0.5815265,0.005,0.046584,0.054725,0.408597
acetone_21_015,0.5799221,0.005,0.033371,0.044989,0.028932
acetone_21_015,0.5790863,0.005,0.033526,0.041295,0.023821
acetone_21_015,75.3684018,0.754,0.032552,0.040625,-0.009264
acetone_22_015,38.1559923,0.378,0.806276,-0.583453,0.034798
acetone_22_015,0.5785488,0.005,0.447444,0.501709,-0.454727
acetone_22_015,0.5725185,0.005,0.27833,0.456226,0.583193
acetone_22_015,0.5796916,0.005,0.252362,0.434947,-0.141573
acetone_22_015,37.9826217,0.378,0.029258,0.017161,0.356442
acetone_22_015,38.1560386,0.378,0.050036,0.039522,0.409858
acetone_22_015,0.5797326,0.005,0.045065,0.054114,0.367196
acetone_22_015,0.5784649,0.005,0.033314,0.044584,0.029298
acetone_22_015,0.5718631,0.005,0.032811,0.044001,0.028245
