e,an,bnd1,ang1,cmdt1,cmdb1,cmod1,cmevs1,cmevl1,bnd2,cmdt2,cmdb2,cmod2,cmevs2,cmevl2,bnd3,cmdt3,cmdb3,cmod3,cmevs3,cmevlbnd3,bnd4,cmdt3,cmdb3,cmod3,cmevs3,cmevl3
38.134492,6,1.099,106.1,36.858,0.500,5.460,-0.302,37.660,1.099,36.858,0.500,5.460,-0.302,37.660,1.459,36.858,36.858,24.674,12.184,61.532,1.540,36.858,36.858,23.377,13.481,60.235
0.5763573,1,1.099,106.1,0.500,36.858,5.460,-0.302,37.660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5763534,1,1.099,106.1,0.500,36.858,5.460,-0.302,37.660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.1421921,6,1.095,108.0,36.858,0.500,5.479,-0.308,37.666,1.095,36.858,0.500,5.479,-0.308,37.666,1.095,36.858,0.500,5.479,-0.308,37.666,1.540,36.858,36.858,23.377,13.481,60.235
0.5846127,1,1.095,108.6,0.500,36.858,5.479,-0.308,37.666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5833152,1,1.095,108.0,0.500,36.858,5.479,-0.308,37.666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5833157,1,1.095,108.0,0.500,36.858,5.479,-0.308,37.666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.1025753,6,1.208,109.0,36.858,36.858,29.801,7.057,66.659,1.459,36.858,36.858,24.674,12.184,61.532,0,0,0,0,0,0,0,0,0,0,0,0
38.1030636,6,1.067,178.8,36.858,0.500,5.623,-0.350,37.708,1.208,36.858,36.858,29.801,7.057,66.659,0,0,0,0,0,0,0,0,0,0,0,0
0.5621955,1,1.067,180.0,0.500,36.858,5.623,-0.350,37.708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.1217629,6,1.087,119.6,36.858,0.500,5.520,-0.320,37.678,1.377,36.858,36.858,26.144,10.714,63.002,1.414,36.858,36.858,25.460,11.398,62.318,0,0,0,0,0,0
